Date,Name,Year,Letterboxd URI,Rating
2025-07-07,The Gospel According to St. Matthew,1964,https://boxd.it/1y7c,4
2025-07-08,Talk to Her,2002,https://boxd.it/2beG,3.5
2025-07-11,Queen & Slim,2019,https://boxd.it/jy4y,3.5
2025-07-11,Targets,1968,https://boxd.it/1Fbq,4.5
2025-07-12,Sinners,2025,https://boxd.it/KQMM,3
2025-07-13,The Devils,1971,https://boxd.it/1inI,5
2025-07-14,Same Old West,2024,https://boxd.it/OapE,4
2025-07-14,Cidade; Campo,2024,https://boxd.it/s6sK,3
2025-07-14,The Murdered House,1971,https://boxd.it/5iXu,5
2025-07-14,The Big City,1966,https://boxd.it/5wla,3.5
2025-07-15,Outrage,1950,https://boxd.it/2vFW,4
2025-07-16,The Devil Queen,1974,https://boxd.it/7Haw,4
2025-07-17,Malu,2024,https://boxd.it/K5d6,5
2025-07-19,Dirty Mary Crazy Larry,1974,https://boxd.it/1FRw,3.5
2025-07-21,Harry Dean Stanton: Partly Fiction,2012,https://boxd.it/4fVo,4
2025-07-26,Men and Women,1964,https://boxd.it/5T8e,5
2025-07-28,God Told Me To,1976,https://boxd.it/1iN2,4.5
2025-07-30,Excitation,1977,https://boxd.it/5SPG,4
2025-07-30,The Lobster,2015,https://boxd.it/7tnw,1.5
2025-08-04,The Roaring Twenties,1939,https://boxd.it/17J4,5
2025-08-04,White Heat,1949,https://boxd.it/1Lw0,5
2025-08-06,Bram Stoker's Dracula,1992,https://boxd.it/223a,4
2025-08-08,Angel's Egg,1985,https://boxd.it/1LeA,3
2025-08-09,Captains of the Sands,2011,https://boxd.it/2Xvq,2.5
2025-08-11,Blacula,1972,https://boxd.it/1l3m,4
2025-08-13,The Searchers,1956,https://boxd.it/25HC,2
2025-08-19,That Most Important Thing: Love,1975,https://boxd.it/25mk,5
2025-08-22,Coffy,1973,https://boxd.it/1Bao,4
2025-08-24,Beau Travail,1999,https://boxd.it/1NI8,5
2025-08-25,Stranger on the Prowl,1952,https://boxd.it/2BGQ,4
2025-08-29,Pulse,2001,https://boxd.it/1s3y,4
2025-09-01,Spellbound,1945,https://boxd.it/24Ji,3.5
2025-09-01,Manhunter,1986,https://boxd.it/1TOw,4
2025-09-07,Battleship Potemkin,1925,https://boxd.it/29Vo,3
2025-09-08,Superman,2025,https://boxd.it/E9IU,4
2025-09-11,A Man Escaped,1956,https://boxd.it/1MzY,4.5
2025-09-11,L'Argent,1983,https://boxd.it/XIg,5
2025-09-11,Au Hasard Balthazar,1966,https://boxd.it/1E3g,4
2025-09-14,Four Nights of a Dreamer,1971,https://boxd.it/qRa,5
2025-09-15,Diary of a Country Priest,1951,https://boxd.it/UDC,3.5
2025-09-17,"The Devil, Probably",1977,https://boxd.it/1hJe,4.5
2025-09-17,Mouchette,1967,https://boxd.it/28Bs,4
2025-09-21,They Don't Wear Black Tie,1981,https://boxd.it/66nQ,5
2025-09-21,The Driver,1978,https://boxd.it/27jW,3.5
2025-09-23,Rushmore,1998,https://boxd.it/1TAO,3
2025-09-24,Lancelot of the Lake,1974,https://boxd.it/qR0,3
2025-09-25,The Getaway,1972,https://boxd.it/22lS,3
2025-09-27,The Little Prince,2015,https://boxd.it/9WbS,3
2025-09-29,Elite Squad: The Enemy Within,2010,https://boxd.it/Jx4,3.5
2025-09-30,Elite Squad,2007,https://boxd.it/20YI,2.5
2025-10-01,Thunderbolt and Lightfoot,1974,https://boxd.it/20jK,4
2025-10-01,Year of the Dragon,1985,https://boxd.it/1UQy,4
2025-10-02,Desperate Hours,1990,https://boxd.it/1iyQ,4
2025-10-03,The Deer Hunter,1978,https://boxd.it/1T6O,4.5
2025-10-04,Viva Zapata!,1952,https://boxd.it/286O,3.5
2025-10-04,Angels of Sin,1943,https://boxd.it/qSW,3.5
2025-10-05,Spontaneous Combustion,1989,https://boxd.it/14fK,3.5
2025-10-09,Vagabond,1985,https://boxd.it/T0u,5
2025-10-10,A Gentle Woman,1969,https://boxd.it/qSM,4
2025-10-11,Seconds,1966,https://boxd.it/1Dbe,3.5
2025-10-12,The Silence of Others,2018,https://boxd.it/i4Z8,3
2025-10-13,The Priest and the Girl,1966,https://boxd.it/3WXK,5
