Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-04-29,"Duck, You Sucker",1971,https://boxd.it/9ybbWP,4.5,,,2025-04-28
2025-04-30,The Man Who Shot Liberty Valance,1962,https://boxd.it/9yHUzF,4,,,2025-04-29
2025-05-02,Sinners,2025,https://boxd.it/9zEQZ3,4,,,2025-05-01
2025-05-02,Black Bag,2025,https://boxd.it/9zKBZ5,2.5,,,2025-05-01
2025-05-02,Final Destination,2000,https://boxd.it/9zNBGN,2,,,2025-05-01
2025-05-03,Final Destination 2,2003,https://boxd.it/9A5kGn,1.5,,,2025-05-02
2025-05-03,Presence,2024,https://boxd.it/9AdnYl,1,,,2025-05-02
2025-05-04,The Stepford Wives,1975,https://boxd.it/9AXTwb,4,,,2025-05-03
2025-05-05,Me Beija,1984,https://boxd.it/9BthCf,3.5,,,2025-05-04
2025-05-05,The Hour and Turn of Augusto Matraga,1965,https://boxd.it/9BAsXn,5,,,2025-05-04
2025-05-05,The Dare,1965,https://boxd.it/9BKsIx,5,,,2025-05-04
2025-05-05,The Margin,1967,https://boxd.it/9BOJiz,5,,,2025-05-04
2025-05-08,Dreams,1990,https://boxd.it/9DthjP,5,,,2025-05-07
2025-05-12,Ashes and Diamonds,1958,https://boxd.it/9FsPqL,3,,,2025-05-11
2025-05-13,Samba Traoré,1992,https://boxd.it/9GmXfN,3.5,,,2025-05-12
2025-05-14,Araby,2017,https://boxd.it/9GRDcB,4,,,2025-05-13
2025-05-15,Greice,2024,https://boxd.it/9HocSL,5,,,2025-05-14
2025-05-16,Blackmail,1929,https://boxd.it/9HP1SJ,3.5,,,2025-05-15
2025-05-17,Downfall,2004,https://boxd.it/9IaMXD,0.5,,,2025-05-16
2025-05-17,Warfare,2025,https://boxd.it/9IgcOR,2,,,2025-05-16
2025-05-25,Citizen Kane,1941,https://boxd.it/9N8vE1,4,,,2025-05-24
2025-05-26,Ganja & Hess,1973,https://boxd.it/9O1d3r,5,,,2025-05-25
2025-05-28,King of New York,1990,https://boxd.it/9Pl5sH,3.5,,,2025-05-27
2025-05-30,The Lobster,2015,https://boxd.it/9QurE3,1.5,,,2025-05-29
2025-05-31,Uptight,1968,https://boxd.it/9R4tKp,3.5,,,2025-05-30
2025-06-01,Babylon,1980,https://boxd.it/9ROiFv,4,,,2025-05-31
2025-06-02,A Trip to the Moon,1902,https://boxd.it/9S8MXf,,,,2025-06-01
2025-06-02,One Cut of the Dead,2017,https://boxd.it/9SsFIH,5,,,2025-06-01
2025-06-02,Phantom of the Paradise,1974,https://boxd.it/9Sxk9L,4,,,2025-06-01
2025-06-03,Carlito's Way,1993,https://boxd.it/9T6suR,4,,,2025-06-02
2025-06-05,About Extra Hours and Volunteer Work,1973,https://boxd.it/9Uk7tv,4.5,,,2025-06-05
2025-06-06,"Local Power, Popular Power",1970,https://boxd.it/9UIwF5,5,,,2025-06-05
